content,summarization
"dầu tiếp tục giảm trước khả năng opec nâng sản lượng. giá dầu tiếp tục giảm vào ngày thứ hai 02/09, với việc nhà đầu tư cân nhắc việc opec tăng sản lượng từ tháng 10. vàng thế giới giảm chờ dữ liệu việc làm của mỹ. giá vàng giảm vào ngày thứ hai 02/09 do đồng usd mạnh hơn, trong khi nhà đầu tư chờ đợi dữ liệu việc làm quan trọng của mỹ để củng cố kỳ vọng về quy mô hạ lãi suất của cục dự trữ liên bang mỹ fed dự kiến diễn ra trong tháng này. giá usd quay đầu đi lên. tuần qua 26-30/08/2024, giá usd trên thị trường quốc tế bất ngờ tăng trở lại sau khi bộ lao động hoa kỳ công bố báo cáo ban đầu mới nhất về số đơn xin trợ cấp thất nghiệp. từ 04-06/09 3 ngày sau nghỉ lễ, một doanh nghiệp chốt quyền chia cổ tức 250. trong tuần sau nghỉ lễ quốc khánh 02/09, có 19 doanh nghiệp chốt quyền chia cổ tức bằng tiền. đáng chú ý, một doanh nghiệp có mức chi tới 250, tức cổ đông nắm 1 cp nhận được 25,000 đồng. những chỉ báo kinh tế kỳ lạ trong thời kỳ suy thoái. khi nền kinh tế đối mặt với nguy cơ suy thoái, việc dựa vào các chỉ báo kinh tế truyền thống như gdp, lạm phát hay tỷ lệ thất nghiệp có thể trở nên phức tạp. các chỉ báo truyền thống thường có độ trễ do phải xử lý số liệu thống kê và thường bị ảnh hưởng bởi giả định và phương pháp tính toán, dẫn đến những kết luận có thể trái ngược hoặc mâu thuẫn. quỹ đầu tư đẩy mạnh lực bán trước kỳ nghỉ lễ. trước kỳ nghỉ lễ quốc khánh 2/9, giao dịch quỹ đầu tư chủ yếu chịu sự áp đảo của lực bán trong tuần giao dịch cuối cùng của tháng 8 26-30/08/2024. cổ phiếu nào khiến vn-index đi ngang trước dịp nghỉ lễ quốc khánh?. hai chỉ số thị trường trải qua tuần giao dịch 26-30/08 ít biến động. vn-index đóng cửa phiên cuối tuần tại mức 1,283.87 điểm, giảm 0.11 so với cuối tuần trước. hnx-index giảm 1.05 về còn 237.56 điểm.","Giá dầu giảm do lo ngại OPEC tăng sản lượng, vàng cũng giảm vì đồng USD mạnh lên và chờ đợi dữ liệu việc làm của Mỹ. Thị trường chứng khoán Việt Nam có sự giao dịch chậm lại trước kỳ nghỉ lễ, với nhiều quỹ đầu tư đẩy mạnh lực bán, khiến VN-Index và HNX-Index gần như đi ngang trong tuần. Tuy nhiên, một số doanh nghiệp đã chốt quyền chia cổ tức, trong đó có một doanh nghiệp chi tới 250 cho mỗi cổ phiếu. 
"
"dòng tiền rút khỏi cổ phiếu bất động sản, dầu khí trước kỳ nghỉ lễ 02/09. thanh khoản suy yếu ngay trong tuần giao dịch trước lễ 02/09, trong đó, một số nhóm ngành bị rút tiền. sửa đổi thông tư về phát hành tín phiếu ngân hàng nhà nước. tổ chức tín dụng phải thực hiện mua tín phiếu ngân hàng nhà nước phát hành theo phương thức bắt buộc theo quyết định của thống đốc ngân hàng nhà nước. chân dung chủ chuỗi nhà hàng ẩm thực lào khao lao. khao lao chỉ là một trong những chuỗi nhà hàng do goldsun food sở hữu sau khi chuyển đổi từ red sun iti, bên cạnh những king bbq, thaiexpress, hotpot story, hay seoul garden. thêm 6 mã bị cắt margin trên hose do lỗ ròng bán niên. ngày 30/08, sở giao dịch chứng khoán tphcm hose thông báo bổ sung thêm 6 chứng khoán không đủ điều kiện giao dịch ký quỹ, với cùng lý do lỗ ròng trên bctc soát xét bán niên năm 2024. qua đó, nâng tổng lượng chứng khoán thuộc danh sách này lên con số 95. núi tồn kho chất đống ở trung quốc dấu hiệu cho sự suy thoái kinh tế?. hàng tồn kho các nguyên liệu thô chủ chốt đang chất đống ở trung quốc, chứng tỏ hoạt động kinh tế vẫn quá yếu để tiêu thụ hết lượng hàng dư thừa. lạm phát giá nhà tại mỹ có thể sẽ hạ nhiệt trong năm 2025. lạm phát giá nhà ở cao dai dẳng đã tăng thêm đáng kể áp lực giá cả nói chung của mỹ trong những năm gần đây, ngay cả khi fed tăng mạnh lãi suất để đẩy lùi lạm phát. ngân hàng không được cấp tín dụng cho cổ đông vượt trần sở hữu?. ngân hàng nhà nước nhnn đang lấy ý kiến của các tổ chức, cá nhân đối với dự thảo thông tư quy định việc ngân hàng thương mại có cổ đông, cổ đông và người có liên quan sở hữu cổ phần vượt tỷ lệ quy định tại điều 55 của luật các tổ chức tín dụng số 47/2010/qh12 luật các tctd 2010 đã được sửa đổi, bổ sung một số điều theo luật số 17/2017/qh14 luật các tctd sửa đổi 2017 và thực hiện lộ trình để bảo đảm tuân thủ các quy định tại luật các tổ chức tín dụng số 32/2024/qh15 luật các tctd sửa đổi 2024.","Trong tuần giao dịch trước kỳ nghỉ lễ 2/9, dòng tiền rút khỏi thị trường chứng khoán, tập trung vào các ngành bất động sản và dầu khí. Đồng thời, Ngân hàng Nhà nước đang sửa đổi thông tư về việc phát hành tín phiếu, yêu cầu các tổ chức tín dụng mua bắt buộc tín phiếu của ngân hàng nhà nước. Cuối cùng, việc hàng tồn kho tăng cao ở Trung Quốc là dấu hiệu cho thấy hoạt động kinh tế vẫn yếu, trong khi lạm phát giá nhà ở tại Mỹ dự kiến sẽ giảm trong năm 2025. 
"
"cụ thể, điều 139 luật đất đai 2024 quy định, trường hợp thứ nhất, hộ gia đình, cá nhân sử dụng đất trước 1/7/2014, do lấn chiếm hành lang bảo vệ an toàn công trình sau khi nhà nước công bố, cắm mốc lấn chiếm lòng đường, lề đường, vỉa hè sau khi công bố chỉ giới xây dựng lấn chiếm đất sử dụng cho mục đích xây dựng trụ sở cơ quan, công trình sự nghiệp, công trình công cộng khác, thì nhà nước thu hồi đất để trả lại cho công trình mà không cấp sổ đỏ đối với diện tích đã lấn chiếm. tuy nhiên, các trường hợp đất vi phạm nêu trên, nếu đã có điều chỉnh quy hoạch sử dụng đất, quy hoạch xây dựng được cấp có thẩm quyền phê duyệt mà phần diện tích đất lấn chiếm không còn thuộc hành lang bảo vệ an toàn công trình công cộng không thuộc chỉ giới xây dựng đường giao thông không có mục đích sử dụng cho trụ sở cơ quan, công trình sự nghiệp, công cộng khác, thì người đang sử dụng đất được xem xét cấp sổ đỏ. chủ đất phải thực hiện nghĩa vụ tài chính khi làm sổ đỏ cho phần đất này. trường hợp thứ hai, người đang sử dụng diện tích đất lấn, chiếm thuộc quy hoạch lâm nghiệp đối với rừng đặc dụng, rừng phòng hộ thì ubnd cấp tỉnh chỉ đạo thu hồi đất đã lấn, chiếm để giao cho ban quản lý rừng quản lý, sử dụng đất. người đang sử dụng đất lấn, chiếm được ban quản lý rừng xem xét khoán bảo vệ, phát triển rừng theo quy định của pháp luật về lâm nghiệp. nếu địa phương không có ban quản lý rừng thì người đang sử dụng đất lấn, chiếm được nhà nước giao đất để sử dụng vào mục đích bảo vệ, phát triển rừng phòng hộ và được xem xét cấp sổ đỏ. nếu diện tích đất lấn chiếm có nguồn gốc nông lâm trường, được quy hoạch để làm hạ tầng công cộng thì ubnd cấp tỉnh sẽ thu hồi, giao chủ đầu tư xây dựng. người đang sử dụng đất vi phạm này được tạm thời sử dụng đến khi nhà nước thu hồi và phải giữ nguyên hiện trạng, kê khai đăng ký đất. đất lấn chiếm có nguồn gốc nông lâm trường và nay đang sử dụng vào mục đích sản xuất nông nghiệp hoặc làm nhà ở từ trước ngày 1/7/2014, không thuộc quy hoạch lâm nghiệp đối với rừng đặc dụng, rừng phòng hộ, không thuộc quy hoạch sử dụng đất cho mục đích xây dựng công trình hạ tầng công cộng thì người đang sử dụng đất được xem xét cấp sổ đỏ và phải thực hiện nghĩa vụ tài chính theo quy định của pháp luật. trường hợp thứ ba, hộ gia đình, cá nhân đang sử dụng đất do lấn đất, chiếm đất không thuộc các trường hợp đã nêu và sử dụng đất không đúng mục đích, nếu đang sử dụng đất ổn định, phù hợp với quy hoạch sử dụng đất cấp huyện hoặc quy hoạch chung hoặc quy hoạch phân khu hoặc quy hoạch xây dựng hoặc quy hoạch nông thôn thì được xem xét cấp sổ đỏ và phải thực hiện nghĩa vụ tài chính theo quy định của pháp luật.","Điều 139 của Luật đất đai 2024 quy định về việc thu hồi đất lấn chiếm, đặc biệt đối với đất sử dụng trước 1/7/2014. Nhà nước thu hồi đất lấn chiếm hành lang bảo vệ an toàn công trình công cộng, không cấp sổ đỏ cho diện tích lấn chiếm, nhưng có thể cấp sổ đỏ cho đất đã được điều chỉnh quy hoạch và không còn thuộc phạm vi lấn chiếm. Ngoài ra, người đang sử dụng đất lấn chiếm thuộc quy hoạch lâm nghiệp phải được xem xét khoán bảo vệ, phát triển rừng theo quy định pháp luật. 
"
"elon musk, nhà sáng lập spacex và tesla khi cảm thấy điều gì đó đủ quan trọng, bạn sẽ làm nó, ngay cả khi hoàn cảnh khó khăn đang chống lại bạn. tỷ phú elon musk là người nổi tiếng với thái độ sẵn sàng chấp nhận rủi ro và sự đổi mới, kể cả khi điều đó đi ngược lại chuẩn mực. câu nói trên phản ánh tinh thần không mệt mỏi và sự sẵn sàng đón nhận thử thách ngay cả khi mọi thứ dường như đều chống lại ông. elon musk cho thấy, niềm tin vào bản thân và sứ mệnh của mình có thể dẫn đến sự thay đổi mang tính cách mạng. warren buffett, chủ tịch berkshire hathaway khoản đầu tư quan trọng nhất bạn có thể thực hiện là vào chính mình. tỷ phú warren buffett là một người ham đọc sách. ông dành ít nhất 5 giờ mỗi ngày để đọc sách, báo, báo cáo thường niên và tạp chí. cả tỷ phú warren buffett và chiến hữu kinh doanh lâu năm charlie munger đều cho rằng, việc đọc là nguyên nhân dẫn đến thành công phi thường của họ. bạn phải liên tục đầu tư thời gian, tiền bạc và nguồn lực để học hỏi, cải thiện bản thân và tiếp thu những kỹ năng mới. jeff bezos, người sáng lập amazon thương hiệu và danh tiếng của bạn sẽ giúp bạn kiếm tiền ngay cả khi bạn đang ngủ.","Elon Musk và Warren Buffett, hai tỷ phú hàng đầu thế giới, đều nhấn mạnh tầm quan trọng của việc sẵn sàng chấp nhận rủi ro, đổi mới và đầu tư vào bản thân để đạt được thành công. Elon Musk cho thấy niềm tin vào bản thân và sứ mệnh có thể tạo nên những thay đổi mang tính cách mạng, trong khi Warren Buffett tin rằng việc đọc sách và học hỏi liên tục là chìa khóa để phát triển bản thân và đạt được thành công tài chính. Jeff Bezos, nhà sáng lập Amazon, bổ sung thêm rằng thương hiệu và danh tiếng là tài sản quý giá giúp bạn kiếm tiền ngay cả khi bạn đang ngủ. 
"
"đến hết tháng 7 năm nay, số vốn đầu tư công giải ngân ước đạt 232.000 tỷ đồng. bên cạnh bộ ngành, địa phương giải ngân vốn tốt, cả nước vẫn còn 7 tỉnh có tỷ lệ giải ngân vốn đầu tư công dưới 20. cụ thể, tỷ lệ giải ngân vốn đầu tư công của địa phương thấp gồm bình phước 8, nam định 10, cà mau 12, hà tĩnh 12, phú yên và hòa bình 15, thái bình 18. bộ tài chính cho biết, các chương trình mục tiêu quốc gia giải ngân 10.312 đồng, đạt 39 kế hoạch vốn. ước lũy kế giải ngân đến hết tháng 8 là 13.812 tỷ đồng, đạt 52 kế hoạch vốn... với quyết tâm đưa nhanh, kịp thời nguồn vốn đến với những nhiệm vụ, dự án, giúp cho người dân, nhất là người dân ở vùng sâu vùng xa, vùng đặc biệt khó khăn, vùng đồng bào dân tộc thiểu số, bộ tài chính đã và đang tiếp tục đôn đốc các địa phương đẩy nhanh tiến độ giải ngân chương trình mục tiêu quốc gia. bộ tài chính cũng có văn bản kịp thời trả lời, hướng dẫn các vướng mắc của các địa phương theo thẩm quyền. năm nay, tổng kế hoạch vốn đầu tư công thủ tướng chính phủ giao các bộ, cơ quan trung ương và địa phương 677.944 tỷ đồng. trong quá trình phân bổ, các bộ, cơ quan trung ương và địa phương ưu tiên bố trí vốn cho dự án quan trọng quốc gia, dự án cao tốc, liên vùng, đường ven biển. tuy nhiên, hiện vẫn còn 12 địa phương chưa phân bổ hết kế hoạch vốn gồm phú thọ, bắc giang, lai châu, thái bình, quảng nam, bình thuận, đắk lắk, đắk nông, gia lai, lâm đồng, bình phước, sóc trăng. nguyên nhân chưa phân bổ hết vốn do dự án đang thực hiện lập, phê duyệt dự án nên chưa đủ điều kiện để phân bổ vốn.","Đến hết tháng 7, số vốn đầu tư công giải ngân đạt 232.000 tỷ đồng, trong đó một số tỉnh có tỷ lệ giải ngân thấp dưới 20%, trong khi các chương trình mục tiêu quốc gia đạt 39% kế hoạch vốn. Bộ Tài chính đang đẩy mạnh giải ngân vốn đầu tư công, tập trung vào các dự án quan trọng quốc gia, đồng thời giải quyết các vướng mắc của địa phương. 
"
"danh sách cổ đông sở hữu từ 1 vốn điều lệ trở lên của nam a bank công bố ngày 22/08/2024 cho thấy dàn lãnh đạo cấp cao của nhà băng này đều không đứng tên sở hữu cổ phần. bên cạnh đó, báo cáo quản trị 6 tháng đầu năm 2024 của ngân hàng cũng thể hiện cá nhân chủ tịch hđqt trần ngô phúc vũ không nắm giữ bất kỳ cổ phần nab. phía gia đình của ông vũ chỉ có em trai trần ngô phúc khoa sở hữu 29,441 cp nab, chiếm 0.003 vốn điều lệ ngân hàng. hai lãnh đạo chủ chốt khác là ông trần ngọc tâm phó chủ tịch hđqt nam a bank nắm gần 3.4 triệu cp, chiếm 0.32 vốn và ông trần khải hoàn thành viên hđqt kiêm quyền tổng giám đốc sở hữu hơn 2.95 triệu cp, tương ứng tỷ lệ sở hữu 0.279. vốn dĩ người ngồi ghế chủ tịch hđqt thường là chủ doanh nghiệp với tỷ lệ sở hữu lớn nhất. tuy nhiên, đối với ngân hàng, chuyện sở hữu này lại hoàn toàn khác. chủ tịch hđqt thường là người đại diện theo pháp luật, song, chủ tịch cũng chưa hẳn đã là người nắm giữ nhiều vốn nhất. pháp luật hiện hành chỉ quy định chủ tịch hđqt do hđqt bầu ra, nhưng không quy định đó phải là người sở hữu cổ phần ngân hàng nhiều nhất. cũng vì lẽ đó, chủ sở hữu nhà băng tại việt nam rất đa dạng, nhiều ông chủ thực sự không xuất hiện với tư cách người lãnh đạo cao nhất công khai tại ngân hàng. cổ đông nào sở hữu nam a bank lớn nhất? theo danh sách công bố của ngân hàng, tại thời điểm 21/08/2024, cổ đông pháp nhân lớn nhất của nam a bank là công ty tnhh rồng thái bình dương pacific dragon sở hữu hơn 9.4 vốn, tương đương hơn 99.8 triệu cp.","Danh sách cổ đông của Nam A Bank công bố ngày 22/08/2024 cho thấy dàn lãnh đạo cấp cao không sở hữu cổ phần đáng kể, trong đó Chủ tịch HĐQT Trần Ngô Phúc Vũ không nắm giữ cổ phần nào của ngân hàng. Cổ đông pháp nhân lớn nhất của Nam A Bank là Công ty TNHH Rồng Thái Bình Dương với tỷ lệ sở hữu hơn 9.4% vốn điều lệ, tương đương hơn 99.8 triệu cổ phần. Pháp luật Việt Nam không quy định chủ tịch HĐQT phải là người sở hữu cổ phần nhiều nhất tại ngân hàng, do đó việc sở hữu cổ phần của lãnh đạo ngân hàng có thể khác biệt so với các doanh nghiệp khác. 
"
"ngày 1-9, tại lễ hội sầu riêng huyện krông pắk lần ii, ban tổ chức đã bán đấu giá 3 trái sầu riêng đoạt doanh hiệu nữ hoàng sầu riêng. trái sầu riêng đầu tiên đấu giá được lấy từ cây cổ thụ hơn 100 năm trồng ở đồn điền cada, với mức giá khởi điểm 60 triệu đồng. cuối cùng, một doanh nghiệp đã trúng đấu giá trái sầu riêng này với mức giá 350 triệu đồng. trái sầu riêng thứ 2 được đưa ra đấu giá thuộc giống dona với mức giá khởi điểm là 70 triệu đồng. đây là trái sầu riêng được lựa chọn rất kỹ từ hàng chục hộ trồng sầu riêng và trải qua quy trình lựa chọn chặt chẽ. cuối cùng, 1 nữ doanh nhân đã trúng đấu giá với mức giá 800 triệu đồng. phiên đấu giá trái sầu riêng thứ 3 thuộc giống ri6, có mức giá khởi điểm là 60 triệu đồng và rất nhiều doanh nghiệp muốn sở hữu. người bỏ giá cao nhất cho trái sầu riêng này là một nữ doanh nhân tại đắk lắk với số tiền 500 triệu đồng. trong lúc đấu giá, bà kêu gọi một số người tham gia góp thêm tiền để cùng bà đấu giá quả sầu riêng trên, nhằm giúp địa phương có thêm nguồn lực lo an sinh xã hội. cuối cùng, mức giá chốt trái sầu riêng ri6 là hơn 1,4 tỉ đồng. như vậy, tổng số tiền bán đấu giá 3 trái sầu riêng là 2,55 tỉ đồng. toàn bộ số tiền sẽ được chuyển cho ubnd huyện krông pắk thực hiện vào chương trình an sinh xã hội của địa phương. người trúng đấu giá còn được tặng thêm 1 trái sầu riêng mạ vàng với tổng trị giá gần 200 triệu đồng/3 trái. sáng cùng ngày, tại đắk lắk đã diễn ra hội thảo xây dựng và phát triển hệ sinh thái sầu riêng bền vững. tham dự hội thảo có gần 600 đại biểu từ các bộ, ngành trung ương và địa phương, lãnh sự quán các nước, các doanh nghiệp, hợp tác xã, nông dân sản xuất sầu riêng.","Tại lễ hội sầu riêng huyện Krông Pắk, 3 trái sầu riêng ""nữ hoàng"" đã được bán đấu giá thành công với tổng giá trị lên đến 2,55 tỷ đồng. Toàn bộ số tiền này sẽ được chuyển cho UBND huyện Krông Pắk để thực hiện chương trình an sinh xã hội của địa phương. Sự kiện này cũng thu hút sự tham gia của đông đảo doanh nghiệp và nông dân, góp phần thúc đẩy phát triển hệ sinh thái sầu riêng bền vững tại địa phương. 
"
"dịch vụ phòng chờ thương gia lounge trước đây chỉ dành cho chủ thẻ travel élite và premier boundless, song từ ngày 05/07/2024, vib đã mở rộng đặc quyền ra toàn bộ hệ sinh thái 10 dòng thẻ tín dụng, đồng thời, triển khai thêm dịch vụ đón hoặc tiễn tại sân bay fast track, tạo nên bộ đôi đặc quyền mới, nhằm gia tăng tiện ích và nâng cao trải nghiệm toàn cầu cho khách hàng. đẳng cấp với dịch vụ phòng chờ thương gia không giới hạn vừa trở về từ chuyến công tác nước ngoài, anh lê tú 41 tuổi, quản lý cấp cao của một doanh nghiệp công nghệ cho biết rất hài lòng với hành trình từ lúc bước ra sân bay nội bài hà nội cho tới sân bay quốc tế changi singapore nhờ đặc quyền thẻ tín dụng vib. do nhu cầu bay thường xuyên và lịch công tác dày đặc, nên việc thư giãn hoặc có không gian riêng tư để xử lý công việc tại sân bay rất quan trọng với anh tú. hai tiếng trước giờ bay đi, dự án với đối tác ngoại lại gặp sự cố bất ngờ, song anh đã tập trung giải quyết nhanh gọn với góc làm việc yên tĩnh trong phòng chờ thương gia vietnam airlines lotus lounge sân bay nội bài. chiều bay về từ singapore, anh tú có nhiều thời gian thảnh thơi hơn để kiểm tra email, nhâm nhi tách trà, lót dạ với menu ẩm thực theo yêu cầu, thưởng lãm các tác phẩm nghệ thuật trong không gian sang trọng của changi lounge. chờ bay là khoảng thời gian chết nhàm chán với nhiều người, song lại đầy trải nghiệm thú vị với đặc quyền phòng chờ thương gia từ vib. từ ngày vib triển khai đặc quyền sử dụng lounge tại các sân bay việt nam và quốc tế, anh tú đã có dịp trải nghiệm nhiều phòng chờ hạng sang với các tiện nghi nghỉ ngơi và thư giãn, phục vụ cho nhu cầu chuyên biệt của những người bận rộn công việc.","Từ ngày 05/07/2024,  VIB mở rộng dịch vụ phòng chờ thương gia cho toàn bộ 10 dòng thẻ tín dụng, đồng thời triển khai thêm dịch vụ đón tiễn sân bay nhanh chóng (fast track), mang đến trải nghiệm đẳng cấp và tiện ích toàn cầu cho khách hàng. Dịch vụ này được đánh giá cao bởi khách hàng như anh Lê Tú, giúp tối ưu thời gian và tạo không gian riêng tư để làm việc hoặc thư giãn tại sân bay, nhất là với những người thường xuyên đi công tác. 
"
"ông lớn khu công nghiệp kcn bình dương vừa phát hành thành công 2 lô trái phiếu mã bcmh2427003 và bcmh2427004, có giá trị lần lượt là 500 tỷ đồng và 300 tỷ đồng vào ngày 14/08/2024. tài sản bảo đảm là quyền sử dụng đất ở tại đô thị tại thửa số 12 k10, tờ bản đồ số 48, phường hòa phú, tp. thủ dầu một, bình dương thuộc sở hữu của bcm với diện tích 23,995m2. cũng trong tháng 8 ngày 08/08, bcm phát hành thành công lô trái phiếu bcmh2427002 giá trị 200 tỷ đồng. tài sản bảo đảm là quyền sử dụng đất ở tại đô thị, thửa số 10 k4, tờ bản đồ số 48, phường hòa phú, tp. thủ dầu một, tỉnh bình dương thuộc sở hữu của bcm với diện tích 11,552m2. cả 3 lô trái phiếu trên có kỳ hạn 3 năm, đáo hạn vào tháng 08/2027, lãi suất dao động từ 10.2-10.5/năm. trước đó ngày 17/06, becamex idc cũng huy động thành công 800 tỷ đồng từ kênh trái phiếu, kỳ hạn 3 năm, đáo hạn ngày 17/06/2027. lãi suất phát hành là 10.5/năm. như vậy, từ đầu năm đến nay, bcm đã huy động được tổng cộng 1,800 tỷ đồng qua kênh trái phiếu riêng trong tháng 8 là 1 ngàn tỷ đồng. tại thời điểm cuối tháng 6, ông lớn kcn bình dương còn gần 12,245 tỷ đồng dư nợ trái phiếu, cộng với 1 ngàn tỷ đồng vừa mới huy động thêm trong tháng 8, hiện bcm đang còn nợ trái phiếu khoảng 13,245 tỷ đồng.","Becamex IDC, nhà phát triển khu công nghiệp lớn ở Bình Dương, đã phát hành thành công 3 lô trái phiếu trong tháng 8, huy động tổng cộng 1,000 tỷ đồng. Các trái phiếu có kỳ hạn 3 năm, lãi suất từ 10.2-10.5%/năm, được bảo đảm bằng quyền sử dụng đất thuộc sở hữu của Becamex IDC. Tổng cộng, Becamex IDC đã huy động được 1,800 tỷ đồng từ trái phiếu trong năm nay, nâng tổng dư nợ trái phiếu lên khoảng 13,245 tỷ đồng. 
"
"tại thời điểm 30/06/2024, tổng tài sản của bim land ghi nhận gần 27.2 ngàn tỷ đồng, tăng 2 so với 1 năm trước. nợ phải trả cũng tăng gần 5, lên hơn 20.1 ngàn tỷ đồng, dù vậy dư nợ trái phiếu lại giảm gần 3, còn hơn 5.4 ngàn tỷ đồng. ngày 02/01/2024, bim land đã đáo hạn toàn bộ lô trái phiếu bimcb2023001 được phát hành ngày 30/12/2020 với giá trị 1 ngàn tỷ đồng, kèm theo đó là khoản lãi trái phiếu hơn 27 tỷ đồng. trước đó, công ty mua lại một phần trị giá hơn 99 triệu usd của lô trái phiếu quốc tế bimcd2126001 lãi suất 7.7/năm vào ngày 17/08/2023, qua đó còn lại gần 101 triệu usd trong lô này. ngoài ra, ngày 21/08/2023, công ty phát hành lô trái phiếu bimch2330001 với giá trị 2,333 tỷ đồng, lãi suất 10.4/năm, sẽ đáo hạn vào ngày 15/07/2030. ngày 16/01/2024, bim land đã thanh toán gần 94 tỷ đồng cho lần trả lãi đầu tiên của lô này. tài sản bảo đảm của trái phiếu này là cổ phần của loạt doanh nghiệp gồm ctcp syrena, ctcp bất động sản hùng thắng, ctcp thanh xuân các khoản phải thu theo các hợp đồng vay giữa ctcp syrena là bên vay và bên bảo đảm là bên cho vay. bim land là đơn vị phát triển mảng bất động sản của ctcp tập đoàn bim. thị trường bất động sản đầu tiên công ty là hạ long, quảng ninh từ năm 1994. tại đây, bim land được biết đến với những dự án như halong plaza hotel, little vietnam, sunrise residence, royal lotus halong resort villas, green bay village, green bay garden, khu phức hợp du lịch halong marina với intercontinental residences halong bay, sailing club residences ha long bay, grand bay villas halong, citadines marina halong...","Tính đến ngày 30/06/2024, tổng tài sản của BIM Land tăng 2% so với cùng kỳ năm trước, đạt gần 27.2 nghìn tỷ đồng. Mặc dù nợ phải trả cũng tăng gần 5%, lên hơn 20.1 nghìn tỷ đồng, nhưng BIM Land đã giảm gần 3% dư nợ trái phiếu, còn hơn 5.4 nghìn tỷ đồng. Điều này cho thấy BIM Land đang nỗ lực giảm bớt gánh nặng nợ và tập trung vào quản lý tài chính hiệu quả. 
"
