,title,content,summarization
200,bổ sung gần 49 tỷ đồng thực hiện chế độ bảo trợ xã hội tại quảng nam,"theo chế độ quy định, tỉnh quảng nam được nstw hỗ trợ 100 nhu cầu kinh phí tăng thêm để thực hiện chính sách bảo trợ xã hội theo nghị định 67,13/nđ-cp và luật người cao tuổi. sau khi xem xét báo cáo của địa phương và chế độ quy định, bộ tài chính xác định lại số kinh phí thực hiện nđ 67 và nđ 13 và luật người cao tuổi năm 2013 của tỉnh quảng nam khoảng 249,1 tỷ đồng, giảm hơn 1,3 tỷ đồng so với số địa phương đề nghị. bộ tài chính cho biết, tổng kinh phí mà bộ tài chính đã bố trí bổ sung cho ngân sách tỉnh quảng nam năm 2013 là trên 200,2 tỷ đồng. do đó, số kinh phí còn thiếu cho chính sách trên của quảng nam là gần 49 tỷ đồng 48.863 triệu đồng. vì vậy, bộ tài chính bổ sung có mục tiêu năm 2013 từ nstw cho ngân sách tỉnh quảng nam số tiền gần 49 tỷ đồng nêu trên và đề nghị ubnd tỉnh chỉ đạo sở tài chính phối hợp với kbnn thực hiện rút dự toán tại kbnn số tiền này theo quy định.","Bộ Tài chính đã phê duyệt 249,1 tỷ đồng cho Quảng Nam để thực hiện chính sách bảo trợ xã hội, giảm hơn 1,3 tỷ đồng so với đề nghị của địa phương. Do ngân sách địa phương thiếu hụt gần 49 tỷ đồng, Bộ Tài chính đã bổ sung số tiền này từ ngân sách nhà nước để đảm bảo thực hiện đầy đủ chính sách bảo trợ xã hội cho tỉnh Quảng Nam. 
"
201,"bổ sung gần 6,9 tỷ đồng mua thẻ bhyt cho học sinh tỉnh tuyên quang","hỗ trợ học sinh mua thẻ bhyt là tạo nguồn động viên tinh thần giúp các em vươn lên trong học tập. ảnh được biết, số kinh phí này được phê duyệt trên cơ sở sự thẩm định của bộ tài chính về báo cáo quyết toán kinh phí thực hiện mua thẻ bhyt cho học sinh, sinh viên năm học 2013-2014 tại công văn số 313/ubnd-tc ngày 26/2/2014 của ubnd tỉnh tuyên quang. trước đó, tại công văn số 4316 và 4351 bộ tài chính đã trả lời hai tỉnh tuyên quang và bắc kạn về việc hỗ trợ kinh phí bổ sung cho quỹ khám chữa bệnh cho người nghèo. bộ tài chính cho biết, trong điều kiện cân đối ngân sách trung ương năm 2014 rất khó khăn, hai tỉnh tuyên quang và bắc kạn chủ động sử dụng nsđp hỗ trợ quỹ khám chữa bệnh cho người nghèo theo quyết định số 14/qđ-ttg ngày 1/3/2013 của thủ tướng chính phủ và thông tư liên tịch số 33/2013/ttlt-byt-btc ngày 18/10/2013 của liên bộ y tế, tài chính. riêng đối với kinh phí mua thẻ bhyt cho người nghèo và người dân tộc thiểu số, bộ tài chính sẽ tổng hợp và xử lý riêng.","Chính phủ Việt Nam đã phê duyệt kinh phí hỗ trợ học sinh mua thẻ bảo hiểm y tế để tạo động lực học tập cho các em. Kinh phí này được cân đối dựa trên báo cáo quyết toán kinh phí thực hiện mua thẻ bảo hiểm y tế cho học sinh năm học 2013-2014, đồng thời tuân thủ quy định về hỗ trợ quỹ khám chữa bệnh cho người nghèo của Bộ Tài chính.  Việc hỗ trợ này nhằm mục tiêu đảm bảo quyền lợi về sức khỏe cho học sinh và giảm gánh nặng tài chính cho gia đình.
"
202,"bổ sung gần 7,5 tỷ đồng thí điểm bảo hiểm nông nghiệp","căn cứ các quyết định của thủ tướng chính phủ, các hướng dẫn của bộ tài chính về chương trình thí điểm bảo hiểm nông nghiệp, trên cơ sở báo cáo của ubnd tỉnh thái bình và tỉnh bình định, bộ tài chính đã đồng ý bổ sung có mục tiêu từ ngân sách trung ương cho ngân sách tỉnh thái bình trên 6,5 tỷ đồng để thực hiện bảo hiểm nông nghiệp đối với cây lúa năm 2013 bổ sung cho ngân sách tỉnh bình định trên 950 triệu đồng, để thực hiện chương trình năm 2013. bộ tài chính đề nghị ubnd tỉnh thái bình và tỉnh bình định thực hiện rút dự toán số tiền nói trên tại kbnn theo quy định về tổ chức thực hiện dự toán ngân sách năm 2013.","Bộ Tài chính đã đồng ý bổ sung ngân sách trung ương cho tỉnh Thái Bình (trên 6,5 tỷ đồng) và tỉnh Bình Định (trên 950 triệu đồng) để thực hiện chương trình bảo hiểm nông nghiệp cho cây lúa năm 2013. Việc bổ sung này được thực hiện dựa trên các quyết định của Thủ tướng Chính phủ và báo cáo của UBND hai tỉnh. Bộ Tài chính yêu cầu hai tỉnh rút dự toán số tiền được bổ sung từ Kho bạc Nhà nước theo quy định. 
"
203,"bổ sung hơn 14,7 tỷ đồng thực hiện chế độ phụ cấp lâu năm","quyết định của bộ tài chính căn cứ theo nghị định 116/2010/nđ-cp của chính phủ về chính sách đối với cán bộ, công chức, viên chức và người hưởng lương trong lực lượng vũ trang ở vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn thông tư liên tịch của bộ nội vụ - bộ tài chính hướng dẫn nghị định 116 và trên cơ sở báo cáo của địa phương. bộ tài chính đề nghị ubnd tỉnh phú yên chỉ đạo các cơ quan chức năng làm thủ tục rút dự toán số tiền nói trên tại kbnn theo quy định về tổ chức thực hiện dự toán ngân sách nhà nước năm 2013.","Bộ Tài chính, dựa trên Nghị định 116/2010/NĐ-CP về chính sách đối với cán bộ, công chức, viên chức và người hưởng lương trong lực lượng vũ trang ở vùng khó khăn, đề nghị UBND tỉnh Phú Yên rút dự toán chi tiêu cho cán bộ, công chức, viên chức và người hưởng lương trong lực lượng vũ trang tại địa phương theo quy định của ngân sách nhà nước năm 2013. Quyết định này dựa trên thông tư liên tịch của Bộ Nội vụ - Bộ Tài chính và báo cáo từ địa phương.
"
204,"bổ sung hơn 14,8 tỷ đồng chi hoạt động công tác đảng cho tỉnh lạng sơn","cụ thể, thực hiện quyết định số 99-qđ/tw ngày 20/5/2012 của ban bí thư trung ương đảng ban hành quy định về chế độ chi cho các hoạt động công tác đảng của các tổ chức cơ sở đảng, đảng bộ cấp trên trực tiếp cơ sở, số tiền đề xuất của tỉnh lạng sơn là trên 28,2 tỷ đồng. trên cơ sở thống nhất về số đối tượng đảng viên với ban tổ chức trung ương đảng, bộ tài chính bổ sung số tiền hơn 14,8 tỷ đồng, thấp hơn số kinh phí địa phương đề nghị gần 13,4 tỷ đồng. theo bộ tài chính, kinh phí hỗ trợ chi bộ, đảng bộ khối cơ quan hành chính và kinh phí mua báo đã bố trí trong dự toán hàng năm của các đơn vị kinh phí phụ cấp cấp ủy đã được thẩm định trong nhu cầu cải cách tiền lương và chênh lệch về hỗ trợ chi khác. bộ tài chính đề nghị tỉnh lạng sơn bố trí, sắp xếp từ nguồn vốn đã bố trí trong dự toán, nguồn nstw hỗ trợ để thực hiện chế độ trên.","Bộ Tài chính đã đồng ý bổ sung hơn 14,8 tỷ đồng cho Lạng Sơn để thực hiện chế độ chi cho hoạt động công tác đảng, thấp hơn số tiền tỉnh đề xuất. Số kinh phí này được phân bổ từ nguồn vốn đã được bố trí trong dự toán hàng năm của các đơn vị, bao gồm kinh phí hỗ trợ chi bộ, đảng bộ khối cơ quan hành chính và kinh phí mua báo. Bộ Tài chính khuyến nghị tỉnh Lạng Sơn sử dụng nguồn vốn nstw hỗ trợ để thực hiện chế độ trên. 
"
205,"bổ sung hơn 15,5 tỷ đồng hỗ trợ học sinh bán trú","đối với tỉnh ninh thuận, bộ tài chính xác định nhu cầu kinh phí thực hiện chính sách này của tỉnh năm 2013 là 4,598 tỷ đồng, giảm 29 triệu đồng so với số địa phương đề nghị. số kinh phí nstw đã hỗ trợ cho tỉnh là 3,478 tỷ đồng. số kinh phí còn thiếu nstw phải bổ sung tiếp cho tỉnh là 1,120 tỷ đồng. tỉnh bắc cạn, bộ tài chính xác định nhu cầu kinh phí thực hiện chính sách này từ năm 2011- 2013 của tỉnh là 26,597 tỷ đồng, gồm năm 2011- 2012 là 1,555 tỷ đồng năm 2013 là 25,042 tỷ đồng, giảm gần 1,2 tỷ đồng so với số địa phương đề nghị. số kinh phí nstw đã hỗ trợ cho tỉnh bắc cạn trong dự toán bổ sung có mục tiêu năm 2013 là 24,269 tỷ đồng. như vậy, phần nstw còn phải hỗ trợ tiếp cho tỉnh là 2,328 tỷ đồng. tỉnh yên bái, bộ tài chính xác định nhu cầu kinh phí thực hiện chính sách này năm 2013 gần 48,2 tỷ đồng, giảm 4,124 tỷ đồng so với số địa phương đề nghị. số kinh phí nstw đã hỗ trợ cho tỉnh là 36,087 tỷ đồng, gồm bố trí trong số bổ sung cân đối là 5,747 tỷ đồng, bố trí trong dự toán bổ sung có mục tiêu năm 2013 là 30,340 tỷ đồng. như vậy, phần nstw còn phải hỗ trợ tiếp cho tỉnh là 12,092 tỷ đồng. trên cơ sở đó, bộ tài chính cấp bổ sung có mục tiêu năm 2013 từ nstw cho nsđp kinh phí thực hiện chính sách học sinh bán trú và trường phổ thông dân tộc bán trú của tỉnh ninh thuận là 1,120 tỷ đồng tỉnh bắc cạn là 2,328 tỷ đồng tỉnh yên bái là 12,029 tỷ đồng. bộ tài chính đề nghị các tỉnh thực hiện rút dự toán số tiền trên tại kho bạc nhà nước theo quy định về tổ chức thực hiện dự toán nsnn năm 2013 đồng thời, báo cáo kết quả triển khai thực hiện gửi về bộ tài chính để tổng hợp.","Bộ Tài chính đã xác định nhu cầu kinh phí thực hiện chính sách học sinh bán trú và trường phổ thông dân tộc bán trú cho các tỉnh Ninh Thuận, Bắc Cạn và Yên Bái, đồng thời bố trí nguồn kinh phí từ ngân sách nhà nước. Tuy nhiên, vẫn còn thiếu hụt một phần kinh phí cần được bổ sung thêm để đảm bảo thực hiện đầy đủ chính sách này. Bộ Tài chính đã yêu cầu các tỉnh rút dự toán số tiền đã được cấp và báo cáo kết quả triển khai thực hiện về bộ. 
"
206,"bổ sung hơn 65,5 tỷ đồng cho đào tạo nguồn nhân lực dệt may","nhà nước luôn hỗ trợ một phần kinh phí cho đào tạo nguồn nhân lực của ngành dệt may theo đó, vinatex được bổ sung dự toán ngân sách năm 2014 số tiền 65,569 tỷ đồng, nhằm hỗ trợ kinh phí đào tạo nguồn nhân lực cho ngành dệt may. đây là nguồn tiền nằm trong nguồn chi cho sự nghiệp giáo dục đào tạo của ngân sách trung ương năm 2014. bộ tài chính sẽ thẩm tra và có ý kiến thống nhất với vinatex sau khi tập đoàn này xây dựng phương án phân bổ kinh phí cho các trường, trên cơ sở dự toán được giao. theo bộ tài chính, căn cứ trên thông tư số 199/2013/tt-btc ngày 20/12/2013 của bộ tài chính về tổ chức thực hiện dự toán ngân sách nhà nước năm 2014, vinatex có trách nhiệm giao dự toán cho các trường theo nguyên tắc các trường trực thuộc vinatex thực hiện rút dự toán tại kho bạc nhà nước, các trường không thuộc vinatex được cấp kinh phí hỗ trợ theo hình thức lệnh chi tiền.","Nhà nước Việt Nam đã hỗ trợ kinh phí cho Viện Dệt May Việt Nam (Vinatex) để đào tạo nguồn nhân lực cho ngành dệt may trong năm 2014 với số tiền 65,569 tỷ đồng. Nguồn kinh phí này được phân bổ cho các trường thuộc và không thuộc Vinatex dựa trên nguyên tắc rút dự toán tại Kho bạc Nhà nước hoặc cấp kinh phí hỗ trợ theo lệnh chi tiền. Bộ Tài chính sẽ thẩm tra và phê duyệt kế hoạch phân bổ kinh phí của Vinatex cho các trường. 
"
207,bổ sung quy định về chương trình mục tiêu quốc gia xây dựng nông thôn mới,"liên bộ bộ nông nghiệp và phát triển nông thôn, bộ tài chính, bộ kế hoạch và đầu tư vừa ban hành thông tư liên tịch số 51/2013/ttlt-bnnptnn-bkhđt-btc sửa đổi, bổ sung một số điều của thông tư liên tịch số 26/2011/ttlt-bnnptnt-bkhđt-btc hướng dẫn một số nội dung thực hiện quyết định số 800/qđ-ttg ngày 04/6/2010 của thủ tướng chính phủ phê duyệt ctmtqgxdntm giai đoạn 2010-2020. trong số 14 điểm sửa đổi tại thông tư, có nhiều quy định về ngân sách thực hiện các đề án. cụ thể như sửa đổi, bổ sung điểm d, khoản 1, điều 8 tổng dự toán ngân sách thực hiện đề án, trong đó làm rõ nhu cầu vốn từ các nguồn cho từng công trình, dự án được lập theo quy định trong quyết định số 800/qđ-ttg ngày 4/6/2010 của thủ tướng chính phủ về phê duyệt ctmtqgxdntm giai đoạn 2010 2020, quyết định số 695/qđ-ttg ngày 8/6/2012 của thủ tướng chính phủ sửa đổi nguyên tắc cơ chế hỗ trợ vốn thực hiện ctmtqgxdntm và các nghị quyết, quyết định của hđnd, ubnd các cấp. bổ sung khoản 1, điều 9 căn cứ nguồn vốn phân bổ chương trình mục tiêu từ ngân sách trung ương và cân đối nguồn vốn bố trí từ ngân sách địa phương cho ctmtqgxdntm, ubnd cấp tỉnh chỉ đạo sở kế hoạch và đầu tư chủ trì, phối hợp với sở nnptnn, sở tài chính xây dựng phương án phân bổ, lồng ghép các nguồn vốn xây dựng nông thôn mới để trình hđnd cấp tỉnh quyết định. khoản 2, điều 9 cũng được bổ sung thêm điều khoản việc phân bổ các nguồn vốn được thực hiện cho cả giai đoạn và cho từng năm, sau khi có thông báo từ bộ kế hoạch và đầu tư và bộ tài chính. khoản 2, điều 16 được bổ sung, sửa đổi đối với các hoạt động được nsnn hỗ trợ nếu kinh phí hỗ trợ dưới 50 vốn thì ban quản lý xã thống nhất với nhà tài trợ nếu có quyết định cơ chế quản lý trường hợp ban quản lý xã và nhà tài trợ nếu có thống nhất thực hiện cơ chế riêng không theo cơ chế quản lý của thông tư này thì chỉ quyết toán phần nsnn đã hỗ trợ. đối với đối tượng sử dụng vốn oda thì thực hiện theo hiệp định ký kết với đối tác cấp oda. thông tư cũng sửa đổi, bổ sung nhiều quy định trong khoản 2, điều 17 về sử dụng nguồn vốn nsnn, nguyên tắc cơ chế hỗ trợ vốn từ nsnn. theo đó, nguồn vốn sự nghiệp ưu tiên hỗ trợ thực hiện công tác quy hoạch xây dựng đề án xây dựng nông thôn mới cấp xã tuyên truyền hoạt động của ban chỉ đạo các cấp đào tạo kiến thức về xây dựng nông thôn mới cho cán bộ xã, thôn, hợp tác xã phát triển sản xuất và dịch vụ nông thôn. nguồn vốn đầu tư phát triển huy động, lồng ghép từ nguồn vốn của các ctmtqg, chương trình hỗ trợ có mục tiêu trên địa bàn để tập trung thực hiện các công trình đường giao thông đến trung tâm xã xây dựng trụ sở xã xây dựng trường học đạt chuẩn xây dựng trạm y tế xã xây dựng nhà văn hóa xã công trình cấp nước sinh hoạt, thoát nước thải khu dân cư đường giao thông thôn giao thông nội đồng và kênh mương nội đồng nhà văn hóa thôn công trình thể thao thôn hạ tầng các khu sản xuất tập trung, tiểu thủ công nghiệp, thủy sản. đối với khoản 2, điều 18, thông tư sửa đổi như sau bộ kế hoạch và đầu tư chủ trì, phối hợp với bộ tài chính, bộ nnptnn và các bộ, ngành có liên quan trình thủ tướng chính phủ phương án phân bổ nguồn ngân sách trung ương cho các tỉnh cho cả thời kỳ trung hạn và hàng năm để thực hiện ctmtqgxdntm theo quy định của luật nsnn. thông tư này có hiệu lực thi hành kể từ ngày 15/1/2014.","Thông tư liên tịch số 51/2013/TTLT-BNNPTNN-BKHĐT-BTC sửa đổi, bổ sung một số điều về ngân sách thực hiện chương trình mục tiêu quốc gia xây dựng nông thôn mới giai đoạn 2010-2020. Thông tư này làm rõ nguồn vốn từ các nguồn cho từng công trình, dự án, phân bổ nguồn vốn cho cả giai đoạn và từng năm, đồng thời quy định chi tiết việc sử dụng nguồn vốn ngân sách nhà nước cho các hoạt động xây dựng nông thôn mới, bao gồm cả nguồn vốn sự nghiệp và nguồn vốn đầu tư phát triển. 
"
208,"bổ sung trên 23,7 tỷ đồng thực hiện bảo trợ xã hội tại tuyên quang","quyết định của bộ tài chính căn cứ theo nghị định 13/2010/nđ-cp của chính phủ về sửa đổi, bổ sung một số điều của nghị định 67/2007/nđ-cp của chính phủ về chính sách trợ giúp các đối tượng bảo trợ xã hội nghị định 06/2011/nđ-cp quy định chi tiết và hướng dẫn luật người cao tuổi, nghị định 28/2012/nđ-cp của chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của luật người khuyết tật. trên cơ sở đề nghị của ubnd tỉnh tuyên quang, bộ tài chính xác định số kinh phí để thực hiện chính sách trợ giúp các đối tượng bảo trợ xã hội năm 2013 của tỉnh tuyên quang trên 23,7 tỷ đồng. đề nghị ubnd tỉnh tuyên quang rút dự toán số tiền nói trên tại kbnn tuyên quang theo quy định về tổ chức thực hiện dự toán ngân sách nhà nước năm 2013. ubnd tỉnh tuyên quang có trách nhiệm quản lý, cấp phát, quyết toán số kinh phí trên theo đúng chế độ, quy định hiện hành.","Bộ Tài chính đã quyết định cấp hơn 23,7 tỷ đồng cho tỉnh Tuyên Quang để thực hiện chính sách trợ giúp các đối tượng bảo trợ xã hội năm 2013. Quyết định này được đưa ra dựa trên các nghị định liên quan đến người cao tuổi, người khuyết tật và chính sách trợ giúp xã hội. UBND tỉnh Tuyên Quang sẽ chịu trách nhiệm quản lý, cấp phát và quyết toán số kinh phí này theo đúng quy định. 
"
209,bổ sung trên 33 tỷ đồng thực hiện chính sách miễn thu thủy lợi phí,"bộ tài chính cho biết, việc bổ sung kinh phí này được căn cứ vào nghị định số 115/2008/nđ-cp của chính phủ bổ sung, sửa đổi một số điều của nghị định số 143/2003/nđ-cp của chính phủ quy định chi tiết thi hành một số điều của pháp lệnh khai thác và bảo vệ công trình thủy lợi thông tư số 36/2009/tt-btc của bộ tài chính hướng dẫn thi hành một số điều của nghị định 115 đồng thời, cũng trên cơ sở đề nghị của ubnd tỉnh thanh hóa về hỗ trợ kinh phí miễn thu thủy lợi phí năm 2012, bộ tài chính chính thức bổ sung 33,201 tỷ đồng để thực hiện chính sách này. ngoài ra, bộ đề nghị tỉnh thực hiện rút dự toán số tiền trên tại kho bạc nhà nước theo quy định tại thông tư số 222/2012/tt-btc ngày 24/12/2012 của bộ tài chính quy định về tổ chức thực hiện dự toán nsnn năm 2013.","Bộ Tài chính đã bổ sung 33,201 tỷ đồng để hỗ trợ tỉnh Thanh Hóa miễn thu phí thủy lợi năm 2012 dựa trên cơ sở đề nghị của tỉnh và các quy định pháp luật liên quan. Việc bổ sung này nhằm thực hiện chính sách hỗ trợ nông nghiệp, giảm gánh nặng cho người dân và thúc đẩy sản xuất. Bộ Tài chính cũng yêu cầu tỉnh Thanh Hóa rút dự toán số tiền này tại kho bạc nhà nước theo quy định. 
"
